Common Name	Scientific Name	Accepted Scientific Name	GBIF ID	Accepted GBIF ID	GBIF Status	Wood Density	Wikidata ID
Açoita-cavallo	Luehea divaricata	Luehea divaricata Mart.	5706141	5706141	ACCEPTED	0.586	Q6699568
Aderno	Myracroduor concinnum	Myracroduor concinnum				0.934	
Alecrim						0.943	
Alleluia	Cassia bacillaris	Cassia bacillaris Willd.	8649092	8649092	HOMOTYPIC_SYNONYM	0.567	
Andá-assú						0.494	
Angelim						0.723	
Angelim doce	Andira fraxinifolia	Andira fraxinifolia Benth.	2952186	2952186	ACCEPTED	0.923	Q15523263
Anil-assú	Eupatorium laeve	Ophryosporus lorentzii Hieron.	7668216	3140073	SYNONYM	0.512	
Arapoca amarella						1.115	
Arapoca branca						0.764	
Araribá amarelho	Centrolobium robustum	Centrolobium robustum (Vell.) Mart. ex Benth.	2945570	2945570	ACCEPTED	0.94	Q15528519
Araribá vermelho	Not explicitly	Not explicitly				0.822	
Arco de pipa	Not explicitly	Not explicitly				1.121	
Ataiúba	Guarea tuberculata	Guarea macrophylla M.Vahl	8743701	7271393	SYNONYM	0.642	
Azedinho	Tovomilopsis paniculata	Tovomilopsis paniculata				0.457	
Batalha	Nectandra robusta	Cryptocarya moschata Nees & Mart.	5685945	7304739	SYNONYM	0.708	
Barbatimão	Stryphnodendron barbatim	Stryphnodendron barbatimao Brenan	2951722	2951722	ACCEPTED	1.289	
Bico de pato	Machaerium acutifolium	Machaerium acutifolium Vogel	5354997	5354997	ACCEPTED	0.946	Q5988762
Bicuhyba	Myristica bicuhyba	Virola bicuhyba (Schott ex Spreng.) Warb.	11034599	7333693	SYNONYM	0.77	
Branquilho	Gymnanthes marginata	Sebastiania klotzschiana (Müll.Arg.) Müll.Arg.	3073280	5380543	SYNONYM	0.635	
Braúna	Melanoxylon brauna	Melanoxylon brauna Schott	2945499	2945499	ACCEPTED	1.068	
Cabruéuva	Myrocarpus fastigiatus	Myrocarpus fastigiatus Allemão	2945758	2945758	ACCEPTED	0.97	Q15535612
Cafezinho	Mouriria chamissoana	Mouriri chamissoana Cogn.	3869541	3870876	SYNONYM	0.836	
Caingá	Not explicitly	Not explicitly				0.824	
Caixeta	Tabebuia cassinoides	Tabebuia cassinoides (Lam.) DC.	4094621	4094621	ACCEPTED	0.48	Q7672999
Cambará						0.912	
Cambotaan	Cupania racemosa	Cupania racemosa (Vell.) Radlk.	3784833	3784833	ACCEPTED	0.881	Q15547807
Canafistula	Cassia ferruginea	Meliola cassiae-ferrugineae Pinho & O.L.Pereira	7638465	7638465	ACCEPTED	0.5	Q108043129
Candeia	Piplocarpha rotundifolia	Piplocarpha rotundifolia				1.214	
Canella amarella	Nectandra psammophila	Nectandra psammophila Nees & Mart. ex Nees	5686071	5686071	ACCEPTED	0.658	Q5474209
Canella póca	Styrax martii	Styrax martii Seub.	7319986	7319986	ACCEPTED	0.628	Q15313168
Canella preta	Nectandra mollis	Nectandra villosa Nees & Mart. ex Nees	7304098	7304555	SYNONYM	0.87	
Canella sassafraz	Mespilodaphne sassafraz	Mespilodaphne sassafraz				0.992	
Cangerana	Cabralea cangerana	Cabralea canjerana subsp. canjerana	3852497	7271503	SYNONYM	0.741	Q15542708
Carvalho brasileiro	Not explicitly	Not explicitly				0.991	
Caviúna	Dalbergia nigra	Dalbergia nigra (Vell.) Allemão ex Benth.	2968672	2968672	ACCEPTED	0.845	Q1076881
Cedro branco	Cedrela fissilis	Cedrela fissilis Vell.	7107974	7107974	ACCEPTED	0.56	Q936202
Cedro rosa	Cedrela glaziouii	Cedrela glaziouii				0.57	
Congonheiro	Wochysia oppugnata	Wochysia oppugnata				0.603	
Copahyba	Copaifera langsdorfii	Copaifera langsdorfii				0.954	
Dedaleiro	Lafoensia sp	Lafoensia acuminata (Ruiz & Pav.) DC.	3989410	3989776	SYNONYM	0.775	Q15530927
Faveiro	Pterodon pubescens	Pterodon emarginatus Vogel	5342610	5342608	SYNONYM	0.955	Q50858505
Folha de bolo	Platypodium regnelli	Platypodium regnelli				0.83	
Fruta de macaco	Posogueria acutifolia	Posogueria acutifolia				0.7	
Fruta de tucano	Wochysia tucanorum	Wochysia tucanorum				0.93	
Guapuruvú	Schizolobium excelsum	Schizolobium parahyba (Vell.) S.F.Blake	2945459	2945453	SYNONYM	0.302	Q50865014
Guaritan	Engl	Englandactis Fautin, 2016	8890855	8890855	ACCEPTED	0.984	Q107273309
Guatambu	Aspidosperma macrocarpum	Aspidosperma macrocarpum				0.786	
Imbirussú	Bombax sp	Pachira insignis (Sw.) Sav.	4073481	3152236	SYNONYM	0.32	Q110124087
Ingázeiro	Inga vera	Inga vera Willd.	5357680	5357680	ACCEPTED	0.654	Q15525860
Ingá-mirim	Inga marginata	Inga marginata Kunth	7574428	7574428	DOUBTFUL	0.675	
Jacarandá caroba	Jacaranda sp	Jacaranda sparrei A.H.Gentry	4093080	4093080	ACCEPTED	0.549	Q15550675
Jacarandá do campo	Platypodium elegans	Platypodium elegans Vogel	2977383	2977383	ACCEPTED	0.835	Q7202696
Jacarandá do matto	Machaerium villosum	Machaerium villosum Vogel	5354918	5354918	ACCEPTED	0.939	Q5458206
Jacaré	Piptadenia communis	Piptadenia gonoacantha (Mart.) J.F.Macbr.	2951777	2951773	SYNONYM	0.994	Q50851197
Jacatirão	Miconia brasiliensis	Miconia brasiliensis (Spreng.) Triana	3858339	3858339	ACCEPTED	0.606	Q15395125
Jangada brava	Heliocarpus americanus	Heliocarpus americanus L.	4259460	4259460	ACCEPTED	0.71	Q5705451
Jatobá	Hymenaea stilbocarpa	Hymenaea courbaril L.	2950761	2950750	SYNONYM	0.821	Q39149514
Jequitibá branco	Couratari legalis	Cariniana legalis (Mart.) Kuntze	3083038	3083036	SYNONYM	0.587	Q39104442
Jequitibá vermelho	Couratari estrellensis	Cariniana estrellensis (Raddi) Kuntze	3083022	3083020	SYNONYM	0.6	Q39104425
